1.505831e+02,3.383661e+02
1.515474e+02,3.352892e+02
1.525116e+02,3.340158e+02
1.534758e+02,3.336665e+02
1.544401e+02,3.341483e+02
1.554043e+02,3.362163e+02
1.563685e+02,3.361126e+02
1.573328e+02,3.327651e+02
1.582970e+02,3.279195e+02
1.592612e+02,3.229018e+02
1.602255e+02,3.179816e+02
1.611897e+02,3.138211e+02
1.621539e+02,3.118960e+02
1.631182e+02,3.118473e+02
1.640824e+02,3.127599e+02
1.650466e+02,3.125356e+02
1.660109e+02,3.113322e+02
1.669751e+02,3.085750e+02
1.679393e+02,3.034546e+02
1.689036e+02,2.958663e+02
1.698678e+02,2.898714e+02
1.708320e+02,2.854610e+02
1.717963e+02,2.824872e+02
1.727605e+02,2.816045e+02
1.737247e+02,2.833589e+02
1.746890e+02,2.844404e+02
1.756532e+02,2.823511e+02
1.766174e+02,2.801727e+02
1.775817e+02,2.799320e+02
1.785459e+02,2.831439e+02
1.795101e+02,2.880683e+02
1.804744e+02,2.925298e+02
1.814386e+02,2.966088e+02
1.824028e+02,3.003665e+02
1.833671e+02,3.038406e+02
1.843313e+02,3.068860e+02
1.852955e+02,3.090270e+02
1.862598e+02,3.096676e+02
1.872240e+02,3.093504e+02
1.881882e+02,3.101052e+02
1.891525e+02,3.126525e+02
1.901167e+02,3.166682e+02
1.910809e+02,3.233312e+02
1.920452e+02,3.320864e+02
1.930094e+02,3.393146e+02
1.939736e+02,3.399655e+02
1.949379e+02,3.403609e+02
1.959021e+02,3.431607e+02
1.968663e+02,3.495548e+02
1.978306e+02,3.581191e+02
1.987948e+02,3.670139e+02
1.997590e+02,3.754429e+02
2.007233e+02,3.823609e+02
2.016875e+02,3.870445e+02
2.026517e+02,3.897278e+02
2.036160e+02,3.950372e+02
2.045802e+02,4.034948e+02
2.055444e+02,4.124532e+02
2.065087e+02,4.187965e+02
2.074729e+02,4.194492e+02
2.084371e+02,4.214456e+02
2.094014e+02,4.264607e+02
2.103656e+02,4.333418e+02
2.113298e+02,4.401071e+02
2.122941e+02,4.440222e+02
2.132583e+02,4.504209e+02
2.142225e+02,4.621130e+02
2.151868e+02,4.772548e+02
2.161510e+02,4.922816e+02
2.171152e+02,5.010829e+02
2.180795e+02,5.079404e+02
2.190437e+02,5.191052e+02
2.200079e+02,5.356284e+02
2.209722e+02,5.554417e+02
2.219364e+02,5.666494e+02
2.229006e+02,5.671723e+02
2.238649e+02,5.672121e+02
2.248291e+02,5.705593e+02
2.257933e+02,5.781419e+02
2.267576e+02,5.839265e+02
2.277218e+02,5.862697e+02
2.286860e+02,5.873983e+02
2.296503e+02,5.872723e+02
2.306145e+02,5.855698e+02
2.315787e+02,5.879949e+02
2.325430e+02,6.004821e+02
2.335072e+02,6.161649e+02
2.344714e+02,6.302742e+02
2.354357e+02,6.389420e+02
2.363999e+02,6.414088e+02
2.373641e+02,6.393049e+02
2.383284e+02,6.340555e+02
2.392926e+02,6.285264e+02
2.402568e+02,6.262532e+02
2.412211e+02,6.293732e+02
2.421853e+02,6.267512e+02
2.431495e+02,6.173127e+02
2.441138e+02,6.031649e+02
2.450780e+02,5.880453e+02
2.460422e+02,5.724319e+02
2.470065e+02,5.546891e+02
2.479707e+02,5.336310e+02
2.489349e+02,5.101564e+02
2.498992e+02,4.862419e+02
2.508634e+02,4.635368e+02
2.518276e+02,4.410429e+02
