iter	RMSE
0	34.63042635
1	34.220749
2	33.84610678
3	33.45618427
4	33.12510593
5	32.77930727
6	32.43700447
7	32.16508464
8	31.87511204
9	31.60429346
10	31.32857329
11	30.99429774
12	30.68775323
13	30.50433602
14	30.16643494
15	29.86908152
16	29.61966131
17	29.32066906
18	29.01454462
19	28.74342976
20	28.38301979
21	28.14288191
22	27.87904902
23	27.5828503
24	27.32100846
25	27.13006386
26	26.83713123
27	26.60985266
28	26.37298285
29	26.11068686
30	25.8542477
31	25.6180963
32	25.43027654
33	25.17220343
34	25.02231278
35	24.8171006
36	24.58735482
37	24.4202473
38	24.21505559
39	24.07416179
40	23.95699001
41	23.83520897
42	23.66008842
43	23.47698919
44	23.30149037
45	23.11369865
46	22.85303969
47	22.66638421
48	22.50510194
49	22.33223709
50	22.14783424
51	21.97269549
52	21.77372511
53	21.61261429
54	21.47271677
55	21.35938313
56	21.17796524
57	21.02830527
58	20.87963452
59	20.72150071
60	20.5978514
61	20.43464974
62	20.30210085
63	20.18856876
64	20.04997487
65	19.87940438
66	19.71627599
67	19.56285552
68	19.425943
69	19.28392939
70	19.15744574
71	19.03209983
72	18.9237007
73	18.82391826
74	18.68858353
75	18.56158442
76	18.46953173
77	18.27736575
78	18.13109646
79	18.00126971
80	17.87618845
81	17.81750917
82	17.76395635
83	17.64899896
84	17.53174854
85	17.45047664
86	17.32125403
87	17.22527229
88	17.15019871
89	17.07420667
90	16.98458951
91	16.88158356
92	16.75589186
93	16.65249694
94	16.59301926
95	16.54166684
96	16.45242227
97	16.34407097
98	16.25203358
99	16.16989079
100	16.06225657
101	15.97808943
102	15.89285846
103	15.79799241
104	15.68079823
105	15.60262993
106	15.52696169
107	15.40899899
108	15.3119084
109	15.236489
110	15.1636666
111	15.0698283
112	14.97594253
113	14.89822841
114	14.81721966
115	14.73712208
116	14.67706576
117	14.61381522
118	14.53225844
119	14.471325
120	14.43034959
121	14.3250959
122	14.2790504
123	14.20355042
124	14.1620274
125	14.08911636
126	14.05937139
127	13.96921048
128	13.90793382
129	13.80693306
130	13.73035837
131	13.69146611
132	13.66872876
133	13.58787484
134	13.56373117
135	13.54320212
136	13.46867861
137	13.42258134
138	13.4061919
139	13.36158834
140	13.31838779
141	13.23497707
142	13.2164339
143	13.19784706
144	13.13647141
145	13.11843235
146	13.05691003
147	12.98631066
148	12.9315426
149	12.87733827
150	12.80553536
151	12.75653303
152	12.69108917
153	12.62723667
154	12.57199761
155	12.49594327
156	12.4309761
157	12.40633518
158	12.3640046
159	12.30828113
160	12.24583234
161	12.22562197
162	12.15499408
163	12.0987489
164	12.07628675
165	12.03248356
166	11.95018712
167	11.87662025
168	11.81704421
169	11.79288379
170	11.73737114
171	11.70697513
172	11.62998868
173	11.58662532
174	11.53688945
175	11.48865775
176	11.4037709
177	11.3323717
178	11.30900632
179	11.27219074
180	11.23419973
181	11.20801928
182	11.17982581
183	11.12313897
184	11.03760616
185	11.004912
186	10.9531734
187	10.93691448
188	10.92602481
189	10.90803551
190	10.86300394
191	10.83300354
192	10.8170266
193	10.80012673
194	10.75448769
195	10.69086987
196	10.6635337
197	10.63631188
198	10.62686397
199	10.58850143
200	10.56564428
201	10.54423768
202	10.52450504
203	10.50082563
204	10.47502833
205	10.46149578
206	10.43598507
207	10.41440992
208	10.4010366
209	10.39044732
210	10.36747632
211	10.34396532
212	10.33021084
213	10.26547118
214	10.24162551
215	10.2181678
216	10.19610104
217	10.18401824
218	10.16573835
219	10.15417299
220	10.14279341
221	10.13156215
222	10.12049961
223	10.10634166
224	10.06377909
225	10.05314193
226	10.03974313
227	10.03150788
228	9.982272019
229	9.959895291
230	9.938567239
231	9.885697077
232	9.87564537
233	9.865849347
234	9.855896164
235	9.83520393
236	9.825854098
237	9.816573861
238	9.79044358
239	9.770582572
240	9.761498455
241	9.747858982
242	9.739064089
243	9.721140289
244	9.71265372
245	9.693725259
246	9.685490371
247	9.67732855
248	9.668273761
249	9.660092967
250	9.652356596
251	9.644735966
252	9.637178503
253	9.591511292
254	9.547443544
255	9.504918159
256	9.497658518
257	9.490394919
258	9.444081911
259	9.432297033
260	9.391577779
261	9.344099599
262	9.332627507
263	9.296748931
264	9.249793817
265	9.24305565
266	9.236375413
267	9.229835175
268	9.218945454
269	9.181169915
270	9.174849475
271	9.138792532
272	9.132577991
273	9.087512114
274	9.056100784
275	9.045725749
276	9.013594167
277	8.98899719
278	8.978888367
279	8.954941609
280	8.931247012
281	8.908146224
282	8.875421474
283	8.843708948
284	8.838119093
285	8.81588144
286	8.777989585
287	8.734521283
288	8.713065976
289	8.692128179
290	8.653299601
291	8.623782362
292	8.585864185
293	8.565571997
294	8.545769438
295	8.526656782
296	8.490106391
297	8.454305062
298	8.425963963
299	8.390989245
300	8.372840227
301	8.345446945
302	8.309018579
303	8.275422245
304	8.249111622
305	8.221398601
306	8.204002435
307	8.171744427
308	8.14681062
309	8.129941561
310	8.116741009
311	8.085738097
312	8.07293627
313	8.042648476
314	8.030229403
315	8.018091777
316	7.988583218
317	7.976802789
318	7.952533308
319	7.941100465
320	7.908668401
321	7.897475226
322	7.886530571
323	7.85861573
324	7.847985767
325	7.820692414
326	7.810365239
327	7.800263353
328	7.790380601
329	7.763820827
330	7.754214
331	7.728233772
332	7.702758793
333	7.676601609
334	7.647072536
335	7.63793519
336	7.600321341
337	7.563549447
338	7.540271176
339	7.504479653
340	7.469478883
341	7.414509939
342	7.392736849
343	7.359004761
344	7.338026072
345	7.29476938
346	7.261471416
347	7.2105748
348	7.184079682
349	7.143409697
350	7.134912073
351	7.1265954
352	7.094669764
353	7.057751913
354	7.010327136
355	6.985714131
356	6.977777957
357	6.970010217
358	6.932248003
359	6.905035755
360	6.881726725
361	6.845053912
362	6.837631473
363	6.830364086
364	6.794694322
365	6.76871055
366	6.761645848
367	6.736665168
368	6.729777209
369	6.716117273
370	6.691687596
371	6.670269316
372	6.635727147
373	6.6055601
374	6.575957304
375	6.553002971
376	6.546356839
377	6.517555898
378	6.495478775
379	6.466651157
380	6.439556759
381	6.418741353
382	6.391381748
383	6.370347051
384	6.343573261
385	6.324991387
386	6.29875949
387	6.278883362
388	6.253218335
389	6.233135078
390	6.215722831
391	6.195896318
392	6.170437122
393	6.145021966
394	6.12575129
395	6.101003239
396	6.081755376
397	6.058413117
398	6.034363695
399	6.010762867
400	5.992078319
401	5.96824017
402	5.944490192
403	5.926259178
404	5.903689955
405	5.880661671
406	5.862885414
407	5.836155849
408	5.814045277
409	5.7882585
410	5.766048921
411	5.749113998
412	5.727892911
413	5.706252187
414	5.68538954
415	5.668564392
416	5.649754595
417	5.629290879
418	5.6147012
419	5.597105473
420	5.585795295
421	5.571747207
422	5.551593574
423	5.53422618
424	5.513923664
425	5.500513975
426	5.480663172
427	5.464581334
428	5.453607467
429	5.440456062
430	5.421233698
431	5.405130894
432	5.384729884
433	5.37408145
434	5.354132156
435	5.335533683
436	5.31727883
437	5.301651388
438	5.291393598
439	5.272031933
440	5.254160558
441	5.238420545
442	5.226626518
443	5.208976396
